Model,MAE,RMSE,R2
Linear Regression,1.4725457508178639,2.524504923001876,0.7527233824220485
Random Forest,1.5319561111111093,3.6947323126235316,0.47034074521717983
Gradient Boosting,1.1762333196694736,2.638251507650872,0.7299382997150927
